Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,sellerId,isPChome,isNC17,couponActid,BU
DEABHV-A900B18XQ,DQCD3G,/items/DEABHVA900B18XQ/000001_1648015117.jpg,/items/DEABHVA900B18XQ/000001_1648015117.jpg,《HOPMA》工業風四門十層鞋櫃-漂流木,"《HOPMA》工業風四門十層鞋櫃-漂流木\r\ndiy家具
磁扣開合設計
層板半圓孔溝槽固定不滑動
防撞墊片貼心設計
透氣孔設計鞋櫃不悶臭",1350,1350,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABIK-A900842CM,DQCD3H,/items/DEABIKA900842CM/000001_1494578903.jpg,/items/DEABIKA900842CM/000001_1494578903.jpg,【ikloo】日系優雅五層木質鞋櫃(白橡木色),"限時促銷↘原$999【ikloo】日系優雅五層木質鞋櫃(白橡木色)\r\n►diy組裝簡單 
►木頭材質堅固耐用 
►開放式設計好拿好放",488,488,,,,,1,0,[],ec
DEDB8P-A900DYTBN,DQCD04,/items/DEDB8PA900DYTBN/000001_1663227143.jpg,/items/DEDB8PA900DYTBN/000001_1663227143.jpg,【AOTTO】歐式簡約實木家用鞋櫃-四層無抽(鞋櫃 收納櫃 櫃子 玄關),"【AOTTO】日式簡約家用玄關開放式收納鞋架-八層(鞋櫃 鞋架)\r\n多層收納 整齊有序
窄長立體 不佔空間
厚實板材 穩固耐用",590,590,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEBAHU-A900842F5,DQCD3H,/items/DEBAHUA900842F5/000001_1660559435.jpg,/items/DEBAHUA900842F5/000001_1660559435.jpg,【ikloo】日系優雅五層木質鞋櫃(胡桃木色),"【ikloo】日系優雅五層木質鞋櫃(胡桃木色)\r\n►diy組裝簡單 
►木頭材質堅固耐用 
►開放式設計好拿好放",488,488,,,,,1,0,[],ec
DEABHV-A900A8PTB,DQCD3G,/items/DEABHVA900A8PTB/000001_1567739999.jpg,/items/DEABHVA900A8PTB/000001_1567739999.jpg,《HOPMA》樂活四門五層鞋櫃-淺橡木,"《HOPMA》樂活四門五層鞋櫃-淺橡木(漂流木)\r\n。mit台灣製 
。diy自行組裝 
。活動板設計方便依鞋子調整高度 

◤淺橡木
◤拼版柚木",1318,1318,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABHV-A900FEAWC,DQCD3G,/items/DEABHVA900FEAWC/000001_1660640985.jpg,/items/DEABHVA900FEAWC/000001_1660640985.jpg,《HOPMA》艾爾六層鞋櫃-漂流木,"《HOPMA》艾爾六層鞋櫃-漂流木\r\n。mit台灣製造
。diy自行組裝 
。可調式活動層板
。30.5cm內深好收納
。導圓角貼心安全設計",909,909,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABHV-A900EN1MA,DQCD3G,/items/DEABHVA900EN1MA/000001_1646116247.jpg,/items/DEABHVA900EN1MA/000001_1646116247.jpg,《HOPMA》大容量二門高鞋櫃-時尚白,"《HOPMA》大容量二門高鞋櫃-時尚白\r\n。mit台灣製造
。diy自行組裝 
。活動式層板
。超大容量收納",1388,1388,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABHV-A900EN7M6,DQCD3G,/items/DEABHVA900EN7M6/000001_1646201901.jpg,/items/DEABHVA900EN7M6/000001_1646201901.jpg,《HOPMA》經典雙色四門大容量鞋櫃/收納櫃/置物櫃/玄關櫃,"《HOPMA》經典雙色四門大容量鞋櫃/收納櫃/置物櫃/玄關櫃\r\n。mit台灣製造。diy自行組裝 
。可調式活動層板。透氣孔設計
。前後踢腳板更穩固",1669,1669,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABHV-A90094AC2,DQCD3G,/items/DEABHVA90094AC2/000001_1679463295.jpg,/items/DEABHVA90094AC2/000001_1679463295.jpg,《HOPMA》工業風四門十層鞋櫃-拼版柚木,"《HOPMA》工業風四門十層鞋櫃-拼版柚木\r\n★mit台灣製造
★diy自行組裝
★大容量收納機能鞋櫃
★門板伸縮轉軸輕鬆組裝
★活動層板擺放不設限

◤淺橡木
◤拼版柚木",1288,1288,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABHV-A90094ACD,DQCD3G,/items/DEABHVA90094ACD/000001_1679463261.jpg,/items/DEABHVA90094ACD/000001_1679463261.jpg,《HOPMA》工業風四門十層鞋櫃-淺橡木,"《HOPMA》工業風四門十層鞋櫃-淺橡木(漂流木色)\r\n★mit台灣製造
★diy自行組裝
★大容量收納機能鞋櫃
★門板伸縮轉軸輕鬆組裝
★活動層板擺放不設限

◤漂流木色
◤拼版柚木",1288,1288,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
